RPC,Description,Lithology,Vp,Vs,Rho,Rho_n
104624,FERRON 82-3 1677.5,sandstone,4467.6,2631.0,2395.0,2410.567261069309
104593,FERRON 82-3 1677.5,sandstone,4411.5,2813.7,2428.0,2426.55835973052
104594,FERRON 82-3 1677.5,sandstone,4443.3,2846.1,2428.0,2462.749792147619
104616,FERRON 82-3 1677.5,sandstone,4600.5,2742.0,2428.0,2453.527664334097
104585,FERRON 82-3 1677.5,sandstone,4017.0,2631.0,2428.0,2411.769349861345
104609,FERRON 82-3 1677.5,sandstone,4451.4,2679.6,2428.0,2399.894157152193
104755,NAVAJO ARCO REMOL 1,sandstone,3292.8,1617.6,2160.0,2165.4079307960724
104824,KIAMICHI FORMA. 4,sandstone,3053.1,1626.0,2108.0,2072.3598990256696
104673,NAVAJO ARCO 2,sandstone,3495.0,1887.0,2162.0,2128.8937951678126
104591,FERRON 82-3 1677.5,sandstone,4395.9,2839.8,2428.0,2451.834584505525
104586,FERRON 82-3 1677.5,sandstone,4259.4,2763.3,2428.0,2408.936721255081
104645,NAVAJO ARCO 2,sandstone,3084.9,1917.3,2162.0,2125.930163927085
104690,NAVAJO ARCO 3,sandstone,3435.9,2052.3,2084.0,2113.8810101167032
104709,NAVAJO ARCO 3,sandstone,3674.4,2178.3,2084.0,2125.469000400561
104679,NAVAJO ARCO 2,sandstone,3585.9,2067.3,2162.0,2181.295950857206
104587,FERRON 82-3 1677.5,sandstone,4274.1,2757.3,2428.0,2388.399207326416
104656,NAVAJO ARCO 2,sandstone,3423.9,2150.7,2162.0,2210.6601627060445
104646,NAVAJO ARCO 2,sandstone,3069.6,1848.9,2162.0,2210.1729003654764
104592,FERRON 82-3 1677.5,sandstone,4411.5,2820.3,2428.0,2386.0430545469158
104842,KIAMICHI FORMA. 1,sandstone,3365.7,1923.3,2066.0,2026.9796125529267
104658,NAVAJO ARCO 2,sandstone,3456.9,2106.9,2162.0,2209.730399826205
104623,FERRON 82-3 1677.5,sandstone,4388.1,2606.1,2395.0,2430.0051512938785
104590,FERRON 82-3 1677.5,sandstone,4244.7,2769.6,2428.0,2473.845082973866
104672,NAVAJO ARCO 2,sandstone,3451.5,1868.4,2162.0,2151.2849755281754
104852,KIAMICHI REMOLD 2,sandstone,5232.0,3083.0,2117.0,2127.769986465863
104668,NAVAJO ARCO 2,sandstone,3437.1,1860.0,2162.0,2207.6253573534923
104829,KIAMICHI FORMA. 1,sandstone,3142.8,2031.9,2066.0,2109.087910485768
104837,KIAMICHI FORMA. 1,sandstone,3316.8,1890.0,2066.0,2053.1560019377907
104855,KIAMICHI REMOLD 2,sandstone,4788.0,2954.0,2117.0,2134.0646294085627
104698,NAVAJO ARCO 3,sandstone,3652.8,2099.1,2084.0,2088.5758617071456
104680,NAVAJO ARCO 2,sandstone,3606.6,2074.2,2162.0,2184.122834834668
104662,NAVAJO ARCO 2,sandstone,3520.5,2169.3,2162.0,2146.3842347071536
104574,FERRON 82-3 1677.5,sandstone,3445.5,2315.4,2428.0,2445.334095340023
104841,KIAMICHI FORMA. 1,sandstone,3330.0,1935.0,2066.0,2084.633372862231
104583,FERRON 82-3 1677.5,sandstone,4110.6,2642.1,2428.0,2440.458790462132
104754,NAVAJO ARCO REMOL 1,sandstone,3252.9,1627.5,2160.0,2166.2202482340813
104667,NAVAJO ARCO 2,sandstone,3376.5,1848.9,2162.0,2206.193841294488
104688,NAVAJO ARCO 3,sandstone,3226.2,1947.9,2084.0,2115.1836119463987
104648,NAVAJO ARCO 2,sandstone,3062.1,1961.1,2162.0,2175.153717802183
104702,NAVAJO ARCO 3,sandstone,3685.2,2142.6,2084.0,2073.7493174081465
104775,NAVAJO ARCO REMOL 3,sandstone,3188.1,1741.5,2045.0,2015.5767233515521
104628,FERRON 82-3 1677.5,sandstone,4427.4,2733.0,2395.0,2351.9721769756648
104659,NAVAJO ARCO 2,sandstone,3481.2,2198.1,2162.0,2197.4740368134485
104771,NAVAJO ARCO REMOL 3,sandstone,3111.6,1521.3,2045.0,2060.5531405851184
104632,FERRON 82-3 1677.5,sandstone,4443.3,2785.2,2395.0,2430.751090306304
104650,NAVAJO ARCO 2,sandstone,3372.9,2148.6,2162.0,2208.8304428556844
104631,FERRON 82-3 1677.5,sandstone,4357.2,2720.7,2395.0,2385.290316946254
105090,Gas sand tight streak,sandstone,3250.0,1780.0,2440.0,2425.7600814076245
104713,NAVAJO ARCO REMOL 3,sandstone,5850.0,3379.0,2138.0,2096.172194833788
104614,FERRON 82-3 1677.5,sandstone,4524.6,2726.7,2428.0,2457.0678805641905
104602,FERRON 82-3 1677.5,sandstone,4187.4,2438.7,2428.0,2400.6188905058325
104891,KIAMICHI REMOLD 3,sandstone,3053.7,1542.3,2126.0,2099.491486479487
104844,KIAMICHI FORMA. 1,sandstone,3269.4,1966.8,2066.0,2066.5738741872265
104603,FERRON 82-3 1677.5,sandstone,4289.1,2541.6,2428.0,2403.1473677573363
104684,NAVAJO ARCO 2,sandstone,3643.8,2111.4,2162.0,2133.257599038483
104577,FERRON 82-3 1677.5,sandstone,3854.1,2400.9,2428.0,2417.3564057297995
104595,FERRON 82-3 1677.5,sandstone,4056.6,2389.2,2428.0,2467.3356192186293
104613,FERRON 82-3 1677.5,sandstone,4467.6,2685.3,2428.0,2466.655868437589
104704,NAVAJO ARCO 3,sandstone,3792.0,2122.5,2084.0,2056.404793447776
104637,FERRON 82-3 1677.5,sandstone,4541.4,2833.2,2395.0,2356.358287394065
104636,FERRON 82-3 1677.5,sandstone,4459.5,2794.8,2395.0,2419.081856072535
104699,NAVAJO ARCO 3,sandstone,3729.3,2094.0,2084.0,2094.429362149649
104832,KIAMICHI FORMA. 1,sandstone,3081.3,1761.6,2066.0,2070.4299960300064
104848,KIAMICHI REMOLD 2,sandstone,3289.0,2182.0,2117.0,2076.7107050064483
104695,NAVAJO ARCO 3,sandstone,3479.1,2088.6,2084.0,2062.6721444054087
104661,NAVAJO ARCO 2,sandstone,3481.2,2192.1,2162.0,2174.2281959604775
104778,NAVAJO ARCO REMOL 3,sandstone,3196.2,1746.3,2045.0,2069.8746394212562
104610,FERRON 82-3 1677.5,sandstone,4475.4,2682.3,2428.0,2474.515717311987
104597,FERRON 82-3 1677.5,sandstone,4166.1,2480.4,2428.0,2468.84375617906
104831,KIAMICHI FORMA. 1,sandstone,3235.8,2103.3,2066.0,2102.4853050548368
104576,FERRON 82-3 1677.5,sandstone,3714.9,2391.6,2428.0,2378.540791657586
104686,NAVAJO ARCO 2,sandstone,3606.6,2104.2,2162.0,2132.899798471989
104626,FERRON 82-3 1677.5,sandstone,4259.4,2636.7,2395.0,2366.875293712721
104819,KIAMICHI FORMA. 4,sandstone,3091.5,1610.1,2108.0,2092.075398238277
104642,NAVAJO ARCO 2,sandstone,3028.5,1893.9,2162.0,2149.24916320459
104633,FERRON 82-3 1677.5,sandstone,4524.6,2807.4,2395.0,2409.534882500817
104651,NAVAJO ARCO 2,sandstone,3341.1,2061.6,2162.0,2142.465915748065
104840,KIAMICHI FORMA. 1,sandstone,3290.7,1924.8,2066.0,2038.4522878988544
104703,NAVAJO ARCO 3,sandstone,3740.7,2142.6,2084.0,2096.486019291869
104660,NAVAJO ARCO 2,sandstone,3581.1,2251.5,2162.0,2155.0099611867868
104894,KIAMICHI REMOLD 3,sandstone,5993.0,2875.0,2061.0,2086.56191575662
104850,KIAMICHI REMOLD 2,sandstone,4700.0,2872.0,2117.0,2145.9705745748597
104627,FERRON 82-3 1677.5,sandstone,4341.9,2706.0,2395.0,2442.8306002403447
104823,KIAMICHI FORMA. 4,sandstone,3138.6,1629.3,2108.0,2134.0895593148784
104655,NAVAJO ARCO 2,sandstone,3495.9,2198.1,2162.0,2192.7576912666877
104835,KIAMICHI FORMA. 1,sandstone,3215.1,1874.4,2066.0,2043.0842621242496
104747,NAVAJO ARCO REMOL 1,sandstone,3003.3,1467.3,2160.0,2175.294380341836
104675,NAVAJO ARCO 2,sandstone,3540.0,2015.4,2162.0,2153.0333346483744
104839,KIAMICHI FORMA. 1,sandstone,3215.1,1921.8,2066.0,2077.807183212554
104768,NAVAJO ARCO REMOL 3,sandstone,3088.2,1518.6,2045.0,2011.3497817099594
104772,NAVAJO ARCO REMOL 3,sandstone,3175.8,1563.6,2045.0,2017.3667005489874
104629,FERRON 82-3 1677.5,sandstone,4491.9,2754.3,2395.0,2441.111916739947
104717,NAVAJO ARCO REMOL 3,sandstone,5907.0,3592.0,2138.0,2097.90548770454
104696,NAVAJO ARCO 3,sandstone,3518.4,2102.7,2084.0,2105.4095877547575
104639,FERRON 82-3 1677.5,sandstone,4643.7,2869.2,2395.0,2349.1267694258263
104611,FERRON 82-3 1677.5,sandstone,4524.6,2691.3,2428.0,2415.1458977323473
104606,FERRON 82-3 1677.5,sandstone,4388.1,2622.6,2428.0,2470.840653697337
104834,KIAMICHI FORMA. 1,sandstone,3150.9,1870.5,2066.0,2113.9985657945094
104670,NAVAJO ARCO 2,sandstone,3465.9,1840.8,2162.0,2113.422938752818
104638,FERRON 82-3 1677.5,sandstone,4592.1,2856.0,2395.0,2435.8028587204612
104851,KIAMICHI REMOLD 2,sandstone,4991.0,2880.0,2117.0,2096.2876762789224
104596,FERRON 82-3 1677.5,sandstone,4083.6,2422.2,2428.0,2448.702490455231
104691,NAVAJO ARCO 3,sandstone,3523.5,2100.9,2084.0,2132.022210842822
104833,KIAMICHI FORMA. 1,sandstone,3089.1,1823.1,2066.0,2048.240253189948
104605,FERRON 82-3 1677.5,sandstone,4388.1,2608.8,2428.0,2431.736591026673
104822,KIAMICHI FORMA. 4,sandstone,3068.4,1588.5,2108.0,2111.437446514225
104665,NAVAJO ARCO 2,sandstone,3227.4,1726.8,2162.0,2173.1039183025523
104588,FERRON 82-3 1677.5,sandstone,4304.1,2745.0,2428.0,2406.591575198381
104821,KIAMICHI FORMA. 4,sandstone,3049.5,1625.1,2108.0,2128.402391978974
104630,FERRON 82-3 1677.5,sandstone,4549.8,2775.9,2395.0,2371.863709173439
104773,NAVAJO ARCO REMOL 3,sandstone,3290.1,1608.6,2045.0,2082.139979994148
104748,NAVAJO ARCO REMOL 1,sandstone,3082.2,1500.0,2160.0,2141.271228187689
104750,NAVAJO ARCO REMOL 1,sandstone,3187.8,1465.8,2160.0,2200.070976470766
104635,FERRON 82-3 1677.5,sandstone,4626.3,2846.1,2395.0,2422.997133924118
104892,KIAMICHI REMOLD 3,sandstone,3086.4,1489.2,2126.0,2089.256116949589
104847,KIAMICHI FORMA. 1,sandstone,3321.3,1979.1,2066.0,2093.6877336634343
104697,NAVAJO ARCO 3,sandstone,3605.1,2113.5,2084.0,2132.020761949524
104677,NAVAJO ARCO 2,sandstone,3485.4,2028.6,2162.0,2189.351205308606
104846,KIAMICHI FORMA. 1,sandstone,3388.2,1973.1,2066.0,2038.839719773028
104671,NAVAJO ARCO 2,sandstone,3340.2,1832.7,2162.0,2153.508582859168
104618,FERRON 82-3 1677.5,sandstone,3933.9,2366.4,2395.0,2349.794797591745
104708,NAVAJO ARCO 3,sandstone,3786.0,2172.6,2084.0,2115.879038532829
104625,FERRON 82-3 1677.5,sandstone,4166.1,2536.5,2395.0,2377.934570389311
104707,NAVAJO ARCO 3,sandstone,3729.3,2174.4,2084.0,2061.1527722948927
104776,NAVAJO ARCO REMOL 3,sandstone,3298.8,1684.2,2045.0,2060.231904154285
104607,FERRON 82-3 1677.5,sandstone,4459.5,2625.3,2428.0,2402.5263569882445
104749,NAVAJO ARCO REMOL 1,sandstone,3135.9,1459.5,2160.0,2163.213885081637
104582,FERRON 82-3 1677.5,sandstone,4070.1,2647.8,2428.0,2470.015228239162
104620,FERRON 82-3 1677.5,sandstone,4110.6,2498.1,2395.0,2425.301012035868
104836,KIAMICHI FORMA. 1,sandstone,3290.7,1875.9,2066.0,2109.3284570802293
104578,FERRON 82-3 1677.5,sandstone,3878.4,2400.9,2428.0,2468.363319909029
104849,KIAMICHI REMOLD 2,sandstone,3863.0,2406.0,2117.0,2109.8845698776017
104589,FERRON 82-3 1677.5,sandstone,4319.1,2745.0,2428.0,2425.231094715127
104705,NAVAJO ARCO 3,sandstone,3626.1,2118.9,2084.0,2054.8021195719925
104640,FERRON 82-3 1677.5,sandstone,4541.4,2836.5,2395.0,2364.658328087983
104681,NAVAJO ARCO 2,sandstone,3643.8,2077.8,2162.0,2113.0096230946
104710,NAVAJO ARCO REMOL 3,sandstone,3768.0,2648.0,2138.0,2116.223464767337
104682,NAVAJO ARCO 2,sandstone,3560.1,2070.9,2162.0,2185.7369421700573
104599,FERRON 82-3 1677.5,sandstone,4223.1,2431.5,2428.0,2467.37895700568
104693,NAVAJO ARCO 3,sandstone,3610.2,2155.5,2084.0,2121.265643052756
104751,NAVAJO ARCO REMOL 1,sandstone,3030.3,1475.4,2160.0,2200.619988682245
101023,Gray Shale,shale,4953.660011,2957.260132,2710.0000379999997,2716.638630266801
100978,Olentangy Shale,shale,3444.6582789999998,2318.002224,2680.0000670000004,2695.5084606935447
100993,Brown Gas Shale,shale,3507.803917,2218.52994,2559.999943,2561.015922557937
101048,Shale 2 (Density is assumed constant),shale,2988.889933,1633.3299880000006,2600.0,2564.4066530072823
100417,Tight gas shale,shale,3642.0,2221.0,2460.0,2419.447754657335
101024,Gray Shale,shale,4987.068176,2963.4923940000012,2710.0000379999997,2699.4527311986817
100969,Marcellus Black Shale,shale,4395.760536,2587.1272089999998,2509.999991,2543.268745691404
100073,Hard shale,shale,3819.0207479999995,2521.0464,2626.0,2577.656723311537
101057,Shale 2 (Density is assumed constant),shale,3033.329964,1633.3299880000006,2600.0,2605.834169690365
100050,Shale,shale,2402.738333,1447.172165,2354.0,2387.896562108249
100124,Pierre shale,shale,2202.0,969.0,2250.0,2292.802788748693
100999,Brown Gas Shale,shale,3893.1028840000004,2444.7009559999997,2559.999943,2548.6209586847303
100052,Shale,shale,2509.11665,1487.700939,2354.0,2324.628070362844
100829,Jurassic Shale (Table 7.2) Outcrop,shale,3545.0,1830.0,2500.0,2536.7311481884367
100063,Hard shale,shale,3726.7513280000003,2377.921343,2605.0,2599.495209727109
100982,Olentangy Shale,shale,3750.621796,2458.61268,2680.0000670000004,2690.8247748891145
100068,Hard shale,shale,3965.976238,2627.777576,2627.0,2626.5873657166144
100738,Beijing Jurassic Shale,shale,5258.46,2262.08,2550.0,2574.2031676380866
100836,Kimmeridge Shale,shale,3669.0,1958.0,2590.0,2573.4980668699845
100082,Hard shale,shale,4408.833504,2687.6978870000007,2597.0,2645.971885600142
100125,Shale,shale,3048.0,1490.0,2420.0,2377.033149038862
100436,Caney Shale,shale,1490.711927,1084.652305,2295.0000760000007,2259.826927159395
101108,Oficina Dolomitized Shale,shale,5191.0,3024.0,2780.0,2734.5167894690367
100129,Green River shale,shale,4404.0,2582.0,2310.0,2309.5990991656786
100368,Bakken Formation,shale,3850.0,2400.0,2480.0,2495.447522894479
100977,Olentangy Shale,shale,3238.066435,2252.693176,2680.0000670000004,2649.9338396226003
101004,Brown Gas Shale,shale,4722.784042,2738.61289,2559.999943,2526.3606479288887
100963,Marcellus Black Shale,shale,3787.166357,2344.783306,2509.999991,2491.191795310607
100986,Olentangy Shale,shale,4484.6339229999985,2676.598549,2680.0000670000004,2641.335261277807
101007,Brown Gas Shale,shale,5069.825172,2944.804907,2559.999943,2545.8969864038863
101055,Shale 2 (Density is assumed constant),shale,3044.440031,1664.809942,2600.0,2614.1916060033545
100985,Olentangy Shale,shale,4319.342136,2627.353191,2680.0000670000004,2726.357085337926
100739,Beijing Jurassic Shale,shale,5320.42,2276.11,2550.0,2594.066438313689
101050,Shale 2 (Density is assumed constant),shale,2888.890028000001,1624.070048,2600.0,2564.961317983889
100965,Marcellus Black Shale,shale,3921.541214,2395.214319,2509.999991,2552.112853427431
100077,Hard shale,shale,3792.9830549999997,2276.750803,2560.0,2599.985068831043
100046,Shale,shale,2290.8408640000002,1340.9656289999998,2319.0,2275.350363487649
100816,Woodford Shale,shale,2860.0,1562.0,2270.0,2279.9005251028
100814,Woodford Shale,shale,2980.0,1650.0,2090.0,2065.811167310381
100035,Shale,shale,3235.11219,1572.615147,2511.0,2518.229826496149
100033,Shale,shale,3442.093372,1749.4659420000007,2408.0,2444.880245504812
100058,Shale,shale,2740.856648,1378.999353,2440.0,2464.752833961667
100031,Shale,shale,3198.837042,1603.3084390000001,2408.0,2401.3970137254296
101005,Brown Gas Shale,shale,4792.5724979999995,2877.716303,2559.999943,2548.366241609118
101013,Gray Shale,shale,4024.830818,2489.831686,2710.0000379999997,2759.5699633540253
100120,Wills Point shale,shale,4130.0,2380.0,2640.0,2635.498659167328
100964,Marcellus Black Shale,shale,3854.939461,2361.713171,2509.999991,2528.8584337360826
100599,Laminated Mudstone,shale,3043.0,1342.0,2492.0,2479.56968029487
100732,Beijing Jurassic Shale,shale,4993.92,1943.88,2550.0,2507.0222155434462
101056,Shale 2 (Density is assumed constant),shale,3024.070025,1644.440055,2600.0,2634.9211307847554
101045,Shale 2 (Density is assumed constant),shale,2844.4399829999998,1566.669941,2600.0,2634.3677927631093
100817,Woodford Shale,shale,2532.0,1492.0,2260.0,2223.313060199024
100837,Kimmeridge Shale,shale,3736.0,1996.0,2590.0,2570.006883902054
101100,Oficina Sandy Shale,shale,3119.0,2020.0,2390.0,2355.303673070947
100101,Mesaverde clayshale,shale,3794.0,2074.0,2560.0,2541.7046344650075
100833,Kimmeridge Shale,shale,3476.0,1863.0,2590.0,2637.656935396815
100034,Shale,shale,3117.888212000001,1531.561017,2511.0,2501.296286192323
100972,Marcellus Black Shale,shale,4773.766518,2700.1547809999997,2509.999991,2546.2403899813266
101053,Shale 2 (Density is assumed constant),shale,3144.4399359999998,1655.560017,2600.0,2613.243463904736
100825,Jurassic Shale (Table 7.2) Outcrop,shale,3001.0,1401.0,2500.0,2531.1662531309616
101097,Oficina Sandy Shale,shale,2809.0,1936.0,2390.0,2343.5969532602508
100080,Hard shale,shale,4265.9020420000015,2660.337687,2597.0,2580.978536855233
100121,Cotton Valley Shale,shale,4721.0,2890.0,2640.0,2650.770665044395
101104,Oficina Sandy Shale,shale,3428.0,2127.0,2390.0,2418.4607118910644
100071,Hard shale,shale,3728.709459,2495.9983829999996,2626.0,2635.3609024553093
100390,Alberta Shale,shale,3900.0,2600.0,2600.0,2646.92396182471
101111,Oficina Dolomitized Shale,shale,5244.0,3040.0,2780.0,2754.996976783321
100411,Tight gas shale,shale,3373.0,2124.0,2400.0,2382.6977933150524
100989,Olentangy Shale,shale,4852.295876,2765.728474,2680.0000670000004,2690.985571790436
101014,Gray Shale,shale,4151.2012479999985,2555.6535719999997,2710.0000379999997,2683.8199423717865
100362,Bakken Formation,shale,3380.0,2120.0,2220.0,2224.389985444109
100067,Hard shale,shale,3853.522778,2579.530478,2627.0,2644.374797996999
100834,Kimmeridge Shale,shale,3552.0,1895.0,2590.0,2595.8612023175447
100040,Shale,shale,3737.190008,2048.3663079999997,2574.0,2595.1481816185565
101011,Gray Shale,shale,3837.088347,2391.5596010000004,2710.0000379999997,2713.8710844588118
100078,Hard shale,shale,3879.533529,2288.729191,2560.0,2540.266305909653
100991,Olentangy Shale,shale,5022.337914,2825.7873059999997,2680.0000670000004,2688.5842875077205
101109,Oficina Dolomitized Shale,shale,5207.0,3031.0,2780.0,2773.408492224916
100996,Brown Gas Shale,shale,3734.3423369999996,2404.422998,2559.999943,2523.546175651888
100422,Tight gas shale,shale,3936.0,2382.0,2580.0,2586.0540478291564
101099,Oficina Sandy Shale,shale,3003.0,1987.0,2390.0,2406.554456316625
100045,Shale,shale,3374.109507,1699.286342,2535.0,2504.508323391508
100061,Shale,shale,2941.366911,1424.32034,2440.0,2466.663033956172
100737,Beijing Jurassic Shale,shale,5217.91,2219.22,2550.0,2587.766128202243
101098,Oficina Sandy Shale,shale,2879.0,1954.0,2390.0,2359.897205655601
100971,Marcellus Black Shale,shale,4664.009571000001,2648.009062,2509.999991,2483.525107058531
100366,Bakken Formation,shale,4210.0,2520.0,2550.0,2575.486503286793
100437,Woodford,shale,3669.5158479999996,2461.585999,2525.000095,2532.139375493731
100597,Laminated Mudstone,shale,3066.0,1459.0,2510.0,2544.030366711518
100048,Shale,shale,2409.196138,1402.271271,2319.0,2269.716519855654
100059,Shale,shale,2813.171625,1395.249486,2440.0,2433.43717288378
101101,Oficina Sandy Shale,shale,3209.0,2048.0,2390.0,2412.778083709392
100097,Mesaverde clayshale,shale,3928.0,2055.0,2590.0,2584.5261400758827
100980,Olentangy Shale,shale,3665.083408,2381.520748,2680.0000670000004,2667.87749410288
100598,Lenticular & Laminated Mudstone,shale,3443.0,1721.0,2516.0,2486.435977802657
100365,Bakken Formation,shale,3290.0,1860.0,2350.0,2397.119438262295
100105,Mesaverde mudshale,shale,5073.0,2998.0,2680.0,2682.3097545429305
100147,Anisotropic shale,shale,2745.0,1508.0,2340.0,2321.012104850521
100962,Marcellus Black Shale,shale,3750.165939,2301.913261,2509.999991,2545.707899873902
100835,Kimmeridge Shale,shale,3602.0,1928.0,2590.0,2613.4084453941173
100420,Tight gas shale,shale,3612.0,2140.0,2470.0,2469.052332202774
100979,Olentangy Shale,shale,3540.80677,2334.04398,2680.0000670000004,2646.536991816743
100438,Woodford,shale,3502.23136,2484.325886,2559.999943,2588.337405783298
101058,Shale 2 (Density is assumed constant),shale,3077.7800079999997,1711.1099960000001,2600.0,2622.173181072701
100060,Shale,shale,2867.9974079999997,1409.8598960000006,2440.0,2440.68044172023
100069,Hard shale,shale,4067.380428,2655.8752059999997,2627.0,2615.2963083879927
100064,Hard shale,shale,3789.063931,2395.613432,2605.0,2643.0683267028603
100997,Brown Gas Shale,shale,3827.327728,2404.422998,2559.999943,2535.7485617541624
100826,Jurassic Shale (Table 7.2) Outcrop,shale,3120.0,1520.0,2500.0,2494.175242287913
100238,Jurassic North Sea Shale,shale,3296.0,1660.0,2490.0,2456.8693401337696
100838,Kimmeridge Shale,shale,3777.0,2020.0,2590.0,2615.472133580495
101112,Oficina Dolomitized Shale,shale,5267.0,3047.0,2780.0,2807.050886430869
100076,Hard shale,shale,3703.355789,2264.7089960000008,2560.0,2555.321922495566
100410,Tight gas shale,shale,3531.0,2307.0,2450.0,2422.1808682823653
101001,Brown Gas Shale,shale,4271.087170000002,2561.737776,2559.999943,2523.880625380875
