title,abstract,doi
Imaging Complex Geologic Structure With Single‐Arrival Kirchhoff Prestack Depth Migration,"We compare various forms of single‐arrival Kirchhoff prestack depth migration to a full‐waveform, finite‐difference migration image, using synthetic seismic data generated from the structurally complex 2-D Marmousi velocity model. First‐arrival‐traveltime Kirchhoff migration produces severe artifacts and image contamination in regions of the depth model where significant reflection energy propagates as late or multiple arrivals in the total reflection wavefield. Kirchhoff migrations using maximum‐energy‐arrival traveltime trajectories significantly improve the image in the complex zone of the Marmousi model, but are not as coherent as the finite‐difference migration image. By carefully incorporating continuous phase estimates with the associated maximum‐energy arrival traveltimes, we obtain single‐arrival Kirchhoff images that are similar in quality to the finite‐difference migration image. Furthermore, maximum‐energy Green's function traveltime and phase values calculated within the seismic frequency band give a Kirchhoff image that is (1) far superior to a first‐arrival—based image, (2) much better than the analogous high‐frequency paraxial‐ray Green's function image, and (3) closely matched in quality to the full‐waveform finite‐difference migration image.",10.1190/1.1444256
Continuous Sounding‐Profiling With A Dipole‐Dipole Resistivity Array,"Among the different four‐electrode arrays used in resistivity sounding and profiling, the dipole‐dipole array can provide, in some instances, advantages over the more conventional Schlumberger and Wenner configurations. Interpretation of data from Wenner and Schlumberger methods has been described by Compagnie Générale de Géophysique (1955), Mooney and Wetzel (1956), Zohdy (1964), and many others. The primary reason for using a dipole‐dipole array has been to minimize inductive coupling between the transmitting and receiving dipoles when performing frequency‐domain, induced‐polarization surveys (e.g., Marshall and Madden, 1959). This inductive coupling, as effected by the presence of the earth, produces spurious frequency‐dependent voltages in the measuring circuit. Such spurious voltages are small and only of importance when one wishes to calculate the percentage change in resistivity between two frequencies; they are usually much less than the 5 to 10 percent accuracy sought in most resistivity surveys. For this reason, and because the dipole‐dipole array leads to small measured potentials, it is seldom used in single‐frequency resistivity sounding or profiling. However, we shall demonstrate in this paper the manner in which the dipole‐dipole array may be used effectively for simultaneous sounding and profiling.",10.1190/1.1439975
Adaptive Subtraction Using Complex-Valued Curvelet Transforms,"We propose a complex-valued curvelet transform-based (CCT-based) algorithm that adaptively subtracts from seismic data those noises for which an approximate template is available. The CCT decomposes a geophysical data set in terms of small reflection pieces, with each piece having a different characteristic frequency, location, and dip. One can precisely change the amplitude and shift the location of each seismic reflection piece in a template by controlling the amplitude and phase of the template's CCT coefficients. Based on these insights, our approach uses the phase and amplitude of the data's and template's CCT coefficients to correct misalignment and amplitude errors in the noise template, thereby matching the adapted template with the actual noise in the seismic data, reflection event-by-event. We also extend our approach to subtract noises that require several templates to be approximated. By itself, the method can only correct small misalignment errors (  ±5 ms   in   50-Hz   data) in the template; it relies on conventional least-squares (LS) adaptation to correct large-scale misalignment errors, such as wavelet mismatches and bulk shifts. Synthetic and real-data results illustrate that the CCT-based approach improves upon the LS approach and a curvelet-based approach described by Herrmann and Verschuur.",10.1190/1.3453425
Two Representations Of The Fan Filter,"The fan filter is a two‐dimensional (2-D) velocity filter that removes low apparent velocity events from seismic data. The convolutional representation was derived by Embree et al (1963) and by Fail and Grau (1963). Treitel et al (1967) extended the representation to include a recursive realization. Its basic use includes migration dip suppression, multiple suppression, slant stacking, and noise suppression in stacking.",10.1190/1.1441363
A Frequency‐Space 2-D Scalar Wave Extrapolator Using Extended 25-Point Finite‐Difference Operator,"Finite‐difference frequency‐domain modeling for the generation of synthetic seismograms and crosshole tomography has been an active field of research since the 1980s. The generation of synthetic seismograms with the time‐domain finite‐difference technique has achieved considerable success for waveform crosshole tomography and for wider applications in seismic reverse‐time migration. This became possible with the rapid development of high performance computers. However, the space‐frequency (x,ω) finite‐difference modeling technique is still beyond the capability of the modern supercomputer in terms of both cost and computer memory. Therefore, finite‐difference time‐domain modeling is much more popular among exploration geophysicists. A limitation of the space‐frequency domain is that the recently developed nine‐point scheme still requires that G, the number of grid points per wavelength, be 5. This value is greater than for most other numerical modeling techniques (for example, the pseudospectral scheme). To overcome this disadvantage inherent in space‐frequency domain modeling, we propose a new weighted average finite‐difference operator by approximating the spatial derivative and the mass acceleration term of the wave equation. We use 25 grid points around the collocation. In this way, we can reduce the number of grid points so that G is now 2.5. This approaches the Nyquist sampling limit in terms of the normalized phase velocity.",10.1190/1.1444323
Formation Resistivity Variation Due To Steam Flooding: A Log Study,"An investigation of the pre‐ and poststeam resistivity logs, in a production pattern in a heavy‐oil field in Southern California, shows that the formation resistivity in steamed formations decreases by a factor of two to three. Shales as well as sands are affected by the steam flood. The observed drop in the resistivity of the reservoir correlates well with the increase in temperature. The study shows the potential of using resistivity variations to map and monitor thermal enhanced oil recovery process.",10.1190/1.1443264
Estimation Of Primaries By Sparse Inversion From Passive Seismic Data,"For passive seismic data, surface multiples are used to obtain an estimate of the subsurface responses, usually by a crosscorrelation process. This crosscorrelation process relies on the assumption that the surface has been uniformly illuminated by subsurface sources in terms of incident angles and strengths. If this is not the case, the crosscorrelation process cannot give a true amplitude estimation of the subsurface response. Furthermore, cross terms in the crosscorrelation result are not related to actual subsurface inhomogeneities. We have developed a method that can obtain true amplitude subsurface responses without a uniform surface-illumination assumption. Our methodology goes beyond the crosscorrelation process and estimates primaries only from the surface-related multiples in the available signal. We use the recently introduced estimation of primaries by sparse inversion (EPSI) methodology, in which the primary impulse responses are considered to be the unknowns in a large-scale inversion process. With some modifications, the EPSI method can be used for passive seismic data. The output of this process is primary impulse responses with point sources and receivers at the surface, which can be used directly in traditional imaging schemes. The methodology was tested on 2D synthetic data.",10.1190/1.3460431
Seismic Reflection And Ground‐Penetrating Radar Imaging Of A Shallow Aquifer,"In 1995 and 1996, researchers associated with the US Air Force's Phillips and Armstrong Laboratories took part in an extensive geophysical site characterization of the Groundwater Remediation Field Laboratory located at Dover Air Force Base, Dover, Delaware. This field experiment offered an opportunity to compare shallow‐reflection profiling using seismic compressional sources and low‐frequency ground‐penetrating radar to image a shallow, unconfined aquifer. The main target within the aquifer was the sand‐clay interface defining the top of the underlying aquitard at 10 to 14 m depth. Although the water table in a well near the site was 8 m deep, cone penetration geotechnical data taken across the field do not reveal a distinct water table. Instead, cone penetration tests show a gradual change in electrical properties that we interpret as a thick zone of partial saturation. Comparing the seismic and radar data and using the geotechnical data as ground truth, we have associated the deepest coherent event in both reflection data sets with the sand‐clay aquitard boundary. Cone penetrometer data show the presence of a thin lens of clays and silts at about 4 m depth in the north part of the field. This shallow clay is not imaged clearly in the low‐frequency radar profiles. However, the seismic data do image the clay lens. Cone penetrometer data detail a clear change in the soil classification related to the underlying clay aquitard at the same position where the nonintrusive geophysical measurements show a change in image character. Corresponding features in the seismic and radar images are similar along profiles from common survey lines, and results of joint interpretation are consistent with information from geotechnical data across the site.",10.1190/1.1444432
Underground Waste Management And Environmental Implications,"The following is a brief report of the symposium on ""Underground Waste Management and Environmental Implications"" made by the official representative of the Society of Exploration Geophysicists. The symposium was held at the Astro World Hotel in Houston, December 6–9, 1971. The approximate final registration was 561. A volume of proceedings will be published by the AAPG at a prepublication price of $18. The complete program for the meeting was published in the AAPG Bulletin, vol. 55, no. 11 (November 1971), p. 2078–2092, which includes abstracts of the papers.",10.1190/1.1440278
Migration From 3D Irregular Surfaces: A Prestack Time Migration Approach,"We have developed a modified 3D prestack time migration (PSTM) scheme that can handle rugged topography as well as high near-surface velocities in land seismic imaging. The proposed topography PSTM can be applied to seismic data recorded on a 3D irregular surface without static corrections. Two effective velocity parameters were found to describe wave propagation through inhomogeneous media above and below a chosen datum. As a result, wave propagation phenomena in the complex near surface, such as near-vertical incidences through a weathering layer and raypaths bending away from vertical in the presence of high near-surface velocities, are correctly considered. The two effective velocity parameters can be estimated by flattening events in imaging gathers. Hence, it is not necessary to have detailed knowledge of the near-surface velocity model and velocity field below the datum when applying topography PSTM. We integrated residual static corrections into topography PSTM. This eliminated the distortions along the events better than conventional residual static corrections, which are usually applied before migration. The computational cost of the topography PSTM was only slightly higher than that of conventional PSTM due to the use of a table-driven algorithm. Three-dimensional synthetic and field data sets were used to test the proposed topography PSTM. High-quality imaging results were obtained.",10.1190/geo2011-0447.1
"Long‐Offset Transient Electromagnetic (Lotem) Depth Soundings Applied To Crustal Studies In The Black Forest And Swabian Alb, Federal Republic Of Germany","The long‐offset transient electromagnetics (LOTEM) sounding method is a valuable complementary technique for deep seismic exploration as applied to earth crustal investigations. During 1986, two LOTEM surveys were conducted to augment completed seismic investigations for crustal studies in southern West Germany, east of the Rhine graben. Our studies were motivated by the geoscientific activities within the framework of the German Continental Deep Drilling (KTB) project. The survey objectives were (1) to determine the applicability of the LOTEM method to crustal geophysics, (2) to investigate the correlation of resistivity anomalies with velocity anomalies, and (3) to confirm the method and interpretation in an area of known geology with existing geophysical data. The Black Forest and the Urach geothermal area survey results exhibit conductive features in the upper 10 km of the crust which were not previously defined by other geophysical data. Importantly, the results demonstrate a very strong correlation of a low‐velocity zone with low electrical resistivity at 5 to 7 km depth within the crystalline basement at both locations.",10.1190/1.1442897
Estimation Of Free Gas Saturation From Seismic Reflection Surveys By The Genetic Algorithm Inversion Of A P-Wave Attenuation Model,"Many previously proposed methods of estimating free gas saturation from seismic survey data rely on calibration to invasively collected, in situ measurements. Typically, such in situ measurements are used to parameterize or calibrate rock-physics models, which can then be applied to seismic data to achieve saturation estimates. We tested a technique for achieving estimates of the spatial distribution of gas saturation solely from shipboard seismic surveys. We estimated the quality factor from seismic reflection surveys using the spectral ratio method, and then inverted a mesoscopic-scale P-wave attenuation model to find the parameters that matched the modeled attenuation to our estimates of observed attenuation within the range of seismic frequencies. By using a genetic algorithm for this inversion, we not only searched efficiently for a global solution to the nonlinear set of equations that compose the model, but also constrain the search to a relatively broad set of realistic parameter values. Thus, our estimates do not rely on in situ measurements of these parameters, but on distributions of their possible values, many of which may be referenced from literature. We first tested this method at Blake Ridge, offshore North and South Carolina, where an approximately 400-m-deep gas-saturated zone underlies a field of methane hydrates. The extensive field work and subsequent studies at this site make it ideal for validating our method. We also demonstrated the applicability of our method to shallower deposits by presenting results from Finneidfjord, Norway, where the inversion of the P-wave attenuation model recognizes very small gas saturations.",10.1190/geo2011-0291.1
A Biological Proof Of Petroleum Emanations,"""It cannot be denied that the chemical‐physical structure of the near surface layers of the earth's crust reflect their physical characteristics and chemical composition in the plant life that covers them, in spite of the many retractions and changes which the science of Botany has had to make in this matter. The fact that many plants and plant components can store up metals has been recognized and utilized by miners and geologists, in that they correlate the occurrence of certain trace elements such as gold and lead in certain plants with corresponding mineral deposits. On the other hand the science of Applied Geophysics has long sought a useful method for proving and possibly determining quantitatively the presence of hydrocarbons which have migrated through the overlying formations to the earth's surface. Hydrocarbons are found almost universally in the earth's crust near the surface layers usually irrespective of whether or not an appreciable deposit of oil exists in the vicinity. For example, methane is formed as the result of the decomposition of organic matter. Evidence of the actual effects of mineral deposits is therefore generally either obscured or cannot be proved.",10.1190/1.1437323
A Bayes Tour Of Inversion: A Tutorial,"It is unclear whether one can (or should) write a tutorial about Bayes. It is a little like writing a tutorial about the sense of humor. However, this tutorial is about the Bayesian approach to the solution of the ubiquitous inverse problem. Inasmuch as it is a tutorial, it has its own special ingredients. The first is that it is an overview; details are omitted for the sake of the grand picture. In fractal language, it is the progenitor of the complex pattern. As such, it is a vision of the whole. The second is that it does, of necessity, assume some ill‐defined knowledge on the part of the reader. Finally, this tutorial presents our view. It may not appeal to, let alone be agreed to, by all.",10.1190/1.1444923
Horizontal Acceleration Corrections In Airborne Gravimetry,"The stabilized platforms used in marine and airborne gravimeters behave like damped long‐period pendulums. When subjected to horizontal accelerations they tilt, resulting in gravimeter reading errors. The amount of tilt depends on the ratio of the period of the horizontal motion to that of the platform and is negligible if this ratio is less than about 0.1 (LaCoste, 1967). This condition can be achieved in straight and level flight using an auto pilot, provided the platform period is set to a sufficiently long period (Brozena and Peters, 1988). Course changes are sometimes unavoidable, however, resulting in lost data (Bell et al., 1991; Brozena, 1984). The aim of this paper is to show that such data loss is unnecessary since the tilt, and hence the gravimeter error, can be accurately modeled from the horizontal accelerations. Moreover the technique will improve data quality whenever long period horizontal accelerations occur. Measuring these accelerations is now straightforward with differential carrier phase GPS.",10.1190/1.1443948
Array Estimators And The Use Of Microseisms For Reconnaissance Of Sedimentary Basins,"A ""natural field"" seismic technique is possible to attain by observing microseisms with a suitably designed array and by digitally processing the data to obtain estimates of the phase velocities of Rayleigh waves. Wavelengths of interest in detecting depth to the basement of sedimentary basins are in the range 2 to 20 km, and correspond to wave periods from 1 to 7 s. An array of five or seven seismometers deployed as an expanding cross configuration simplifies field procedures and is adequate for phase velocity measurements of Rayleigh waves in the required wavelength range, provided high‐resolution frequency‐wavenumber spectral analysis is used. This analysis can be implemented on a minicomputer in the field. Results obtained from observation in a sedimentary basin of known structure show predominantly fundamental‐mode Rayleigh wave propagation. The scatter of velocity estimates is small enough to allow inversion by curve matching, and depth to the basement can be computed to an accuracy of ±30 percent without requiring restrictive assumptions of a seismic velocity structure.",10.1190/1.1441596
High-Resolution Gravity Study Of The Gray Fossil Site,"The Gray Fossil Site, Washington County, Tennessee, has produced a remarkable Mio-Pliocene fauna and flora with no known correlative in the Appalachian region. After its discovery in 2000, a series of auger holes were drilled by the Tennessee Department of Transportation (TDOT) to determine the areal extent of the site. Drilling indicated that the fossils occurred in fill material within a paleokarst basin, but the distribution of boreholes does not permit details of sinkhole topography, and therefore its formation and fill history, to be adequately resolved. To better image the sinkhole basin, a high-resolution gravity survey, which included 1104 gravity measurement stations, was conducted. These data were used to create complete Bouguer and residual gravity anomaly maps and a 3D density model via inversionmethods. The residual gravity anomaly map compares favorably with 29 TDOT auger holes drilled to basement, but contains significantly more detail. The residual gravity anomaly map reveals the presence of seven separate sinkholes. However, 3D inverse modeling constrained by drill-hole depths and density data indicates that there are 11 separate sinkholes formed within the Knox Group carbonates. These sinkholes, which range between 20 and   44 m   in depth, are aligned along northwest and northeast trending linear features that correlate to structural features formed during the Appalachian orogenies. It is possible that the overall sinkhole basin formed as the result of partial coalescence of multiple sinkhole structures controlled by a joint system and that the sinkholes then acted as a natural trap for the Gray Fossil Site fauna and flora.",10.1190/1.2829987
Recovery Of The Acoustic Impedance From Reflection Seismograms,"This paper examines the problem of recovering the acoustic impedance from a band‐limited normal incidence reflection seismogram. The convolutional model for the seismogram is adopted at the outset, and it is therefore required that initial processing has removed multiples and recovered true amplitudes as well as possible. In the first portion of the paper we investigate the effect of substituting the deconvolved seismic trace (that is, the band‐limited version of the reflectivity function) into the standard recursion formula for the acoustic impedance. The formalism of linear inverse theory is used to show that the logarithm of the normalized acoustic impedance estimated from the deconvolved seismogram is approximately an average of the true logarithm of the impedance. Moreover, the averaging function is identical to that used in deconvolving the initial seismogram. The advantage of these averages is that they are unique; their disadvantage is that low‐frequency information, which is crucial to making a geologic interpretation, is missing. We next present two methods by which the missing low‐frequency information can be recovered. The first method is a linear programming (LP) construction algorithm which attempts to find a reflectivity function made of isolated delta functions. This method is computationally efficient and robust in the presence of noise. Importantly, it also lends itself to the incorporation of impedance constraints if such geologic information is available. A second construction method makes use of the fact that the Fourier transform of a reflectivity function for a layered earth can be modeled as an autoregressive (AR) process. The missing high and low frequencies can thus be predicted from the band‐limited reflectivity function by standard techniques. Stability in the presence of additive noise on the seismogram is achieved by predicting frequencies outside the known frequency band with operators of different orders and extracting a common signal from the results. Our construction algorithms are shown to operate successfully on a variety of synthetic examples. Two sections of field data are inverted, and in both the results from the LP and AR methods are similar and compare favorably to acoustic impedance features observed at nearby wells.",10.1190/1.1441413
Coherent Noise In Marine Seismic Data,"Despite significant advances in marine streamer design, seismic data are often plagued by coherent noise having approximately linear moveout across stacked sections. With an understanding of the characteristics that distinguish such noise from signal, we can decide which noise‐suppression techniques to use and at what stages to apply them in acquisition and processing. Three general mechanisms that might produce such noise patterns on stacked sections are examined: direct and trapped waves that propagate outward from the seismic source, cable motion caused by the tugging action of the boat and tail buoy, and scattered energy from irregularities in the water bottom and sub‐bottom. Depending upon the mechanism, entirely different noise patterns can be observed on shot profiles and common‐midpoint (CMP) gathers; these patterns can be diagnostic of the dominant mechanism in a given set of data. Field data from Canada and Alaska suggest that the dominant noise is from waves scattered within the shallow sub‐buttom. This type of noise, while not obvious on the shot records, is actually enhanced by CMP stacking. Moreover, this noise is not confined to marine data; it can be as strong as surface wave noise on stacked land seismic data as well. Of the many processing tools available, moveout filtering is best for suppressing the noise while preserving signal. Since the scattered noise does not exhibit a linear moveout pattern on CMP‐sorted gathers, moveout filtering must be applied either to traces within shot records and common‐receiver gathers or to stacked traces. Our data example demonstrates that although it is more costly, moveout filtering of the unstacked data is particularly effective because it conditions the data for the critical data‐dependent processing steps of predictive deconvolution and velocity analysis.",10.1190/1.1441516
Double-Weave 3D Seismic Acquisition — Part 2: Seismic Modeling And Subsurface Fold Analyses,"The compatibility of 3D double-weave acquisition designs with sparse Fourier reconstruction algorithms was examined using simple modeled seismic data. Zigzag and orthogonal double-weave acquisitions and random acquisition all had successful 5D sparse Fourier interpolation results. However, the simplicity and regularity of double-weave acquisition made it a more attractive alternative to random acquisition. The subsurface fold analysis of double-weave acquisition reveals nonuniform distribution of midpoint sampling in comparison with random and traditional orthogonal acquisition layouts. This can be alleviated by either using larger bin sizes or introducing random shifts to the shot-receiver lines of double-weave acquisition layouts. Zigzag double-weave acquisition reveals a more uniform offset-azimuth distribution compared with orthogonal double-weave, random, and traditional orthogonal acquisitions.",10.1190/geo2015-0162.1
3D Magnetization Inversion Using Fuzzy C-Means Clustering With Application To Geology Differentiation,Parts of the work were first presented at the 2014 SEG Annual Meeting and GEM Chengdu 2015.,10.1190/geo2015-0636.1
Numerical Modeling Of The Electromagnetic Response Of Three‐Dimensional Conductors In A Layered Earth,"This paper describes a numerical modeling program which was developed for computing the electromagnetic response of a three‐dimensional conductor in a layered earth. The algorithm is a hybrid one, in the sense that a finite‐element method is combined with an integral equation approach for the complete solution of the problem. In this approach, two relatively small matrices are inverted to obtain the secondary magnetic fields at the interior nodes of the subdivided volume. The finite‐element method requires special attention at low frequencies, i.e., when the body dimensions are small compared with the skin depth. The method was tested with various models involving spheres and rectangular dikes, and comparisons have been made with analytical, numerical, and scale‐modeling data. These comparisons generally show good agreement between our numerical model and the other models tested. Examples are given which show the flexibility and usefulness of this modeling algorithm when applied to a ground or airborne prospecting system with a coil separation of 10 m.",10.1190/1.1441941
Automatic Lineament Extraction From Potential-Field Images Using The Radon Transform And Gradient Calculation,"Linear anomalies are critical in the interpretation of gravity and magnetic data. Visual identification of lineaments is usually done by experienced interpreters, and identification results then have to undergo a digitization or import procedure. The traditional identification method has unavoidable subjectivity and inefficiency. To overcome these limitations, we fuse the Radon transform (RT) with gradient calculation to process gravity or magnetic data and to realize automatic detection and extraction of lineaments. As part of the detection procedure, we define the RT-based mean gradient (MG), effective mean gradient (EMG), and residual mean gradient (RMG) in order to highlight long linear segments or to enhance short linear ones in the transform domain. The gradient forms are applied self-adaptively and self-selectively to gravity or magnetic images according to specific conditions. Gradient directions are also taken into account in the transformation procedure to emphasize the characteristics of linear anomalies. To extract the position and length of the detected lineaments from the transform domain, a constraint inverse searching method (CISM) is given and used to locate the starting and end points of the lineaments. The method can deal with the condition that there is at least one linear section in a specific direction or that separate linear sections may belong to one lineament. Through tests with synthetic images and with real data from the Haijiao upheaval area in the East China Sea Basin, the detection and extraction methods are shown to be more effective and robust than the conventional RT applications. The results from the real data roughly coincide with major geologic faults that are visually identified. These results show that the methods constitute a useful tool to aid fault interpretation.",10.1190/1.2194521
